Practice name,Practice Code,Practice Population,Lat,Lon,NHSE OC Provider,Manual OC Provider,Most likely OC Provider
POTTERIES MEDICAL CENTRE,M83102,7389,53.019567858372,-2.13920641018308,Accurx,Accurx,Accurx
ALLEN STREET CLINIC,M83103,4845,52.9841590813336,-1.9819060601407,Accurx,Accurx,Accurx
ALDERWOOD MEDICAL PRACTICE,M83107,6670,52.6839758115999,-2.03974929706786,eConsult,Patchs,Patchs
WELL STREET MEDICAL CENTRE,M83108,7868,52.9855974627392,-1.98266513481426,SystmConnect,SystmConnect,SystmConnect
DR MANICKAM & PARTNER,M83109,3959,52.7107299196461,-2.00176313014665,eConsult,eConsult,eConsult
HEATHVIEW MEDICAL PRACTICE,M83110,17314,52.6215148952133,-1.66313428204684,Rapid Health,Rapid Health,Rapid Health
RIVERSIDE SURGERY,M83111,2414,52.6328404448739,-1.69941114181726,eConsult,,eConsult
DR KHARE'S SURGERY,M83113,1720,52.6174505293643,-1.65043498636962,eConsult,eConsult,eConsult
CROWN MEDICAL PRACTICE,M83117,8216,52.6368263264253,-1.69511647005991,Anima,eConsult,eConsult
TEAN SURGERY,M83121,5854,52.9547021382009,-1.98744044325646,Accurx,Accurx,Accurx
WATERHOUSES MEDICAL PRACT,M83122,3085,53.057948332371,-1.88244624153223,Accurx,Accurx,Accurx
BIRCHES HEAD MEDICAL CTR.,M83123,10250,53.0355670847332,-2.154876053853,Accurx,Accurx,Accurx
CLAVERLEY,M83125,3484,52.5397338481408,-2.30666309103768,eConsult,,eConsult
LONGTON HALL SURGERY,M83126,9216,52.9870537963413,-2.14093833242171,Accurx,,Accurx
COBRIDGE SURGERY,M83127,6933,53.0358458576643,-2.18611182637935,Accurx,,Accurx
HEATH HAYES HEALTH CENTRE,M83129,10774,52.691527362642,-1.98643445996802,Accurx,Accurx,Accurx
RED LION SURGERY,M83130,4166,52.6926998105362,-2.03107672170959,eConsult,Patchs,Patchs
LAKESIDE,M83132,5661,52.5965382830924,-2.20357004471312,Accurx,Accurx,Accurx
HANFORD GP,M83138,6884,52.9745147591696,-2.19603672215421,Accurx,Accurx,Accurx
MOSS STREET SURGERY,M83139,4968,52.7032577134452,-2.01331971412297,eConsult,Patchs,Patchs
HIGHERLAND SURGERY,M83140,4920,53.0090560193731,-2.2326855951701,Accurx,Accurx,Accurx
KINGSBRIDGE MEDICAL CENTRE,M83141,9399,52.9934912108368,-2.22623777744738,Accurx,,Accurx
GOLDENHILL MEDICAL CENTRE,M83143,5338,53.0763014526583,-2.22067320509264,Accurx,,Accurx
THE MOORCROFT MEDICAL CTR,M83146,13058,53.0219835242286,-2.16879162131747,Patchs,Patchs,Patchs
THE PEEL MEDICAL PRACTICE,M83148,14346,52.6346060968558,-1.69731563574911,Accurx,Accurx,Accurx
BRINSLEY AVENUE PRACTICE,M83601,5895,52.9659553627595,-2.19210008511367,Accurx,Accurx,Accurx
QUINTON PRACTICE,M83608,5398,52.6571233470602,-2.01749033394982,Accurx,,Accurx
DR I RASIB & PARTNERS,M83616,5224,52.6931668614256,-2.03058347126874,eConsult,eConsult,eConsult
DARWIN MEDICAL CENTRE,M83617,24392,52.6758645755689,-1.90151107769649,Rapid Health,Rapid Health,Rapid Health
HONEYWALL MEDICAL PRACTICE,M83619,3600,53.0054410791327,-2.18832348420547,Accurx,,Accurx
