Practice name,Practice Code,Practice Population,Lat,Lon,NHSE OC Provider,Manual OC Provider,Most likely OC Provider
THE DENSHAM SURGERY,A81001,3743,54.5615936359273,-1.31882504949962,eConsult,eConsult,eConsult
QUEENS PARK MEDICAL CENTRE,A81002,18654,54.5691629671937,-1.3138796009281,SystmConnect,SystmConnect,SystmConnect
ACKLAM MEDICAL CENTRE,A81004,11419,54.5393098266642,-1.26216751165767,eConsult; SystmConnect,SystmConnect,SystmConnect
SPRINGWOOD SURGERY,A81005,7592,54.5328485970829,-1.05316619795324,eConsult,eConsult,eConsult
TENNANT STREET MEDICAL PRACTICE,A81006,14558,54.5686422962117,-1.31398114423873,SystmConnect,eConsult,eConsult
BANKHOUSE SURGERY,A81007,10436,54.6816902917328,-1.21498377035184,eConsult,,eConsult
VILLAGE MEDICAL CENTRE,A81009,7923,54.5625050612085,-1.24181705422338,eConsult,eConsult,eConsult
CHADWICK PRACTICE,A81011,12009,54.6823319425657,-1.2141493417514,eConsult,eConsult,eConsult
WESTBOURNE MEDICAL CENTRE,A81012,5642,54.5718478268858,-1.21721910646358,eConsult,eConsult,eConsult
BROTTON SURGERY,A81013,7801,54.5652660046789,-0.936356691442813,eConsult,eConsult,eConsult
QUEENSTREE PRACTICE,A81014,4107,54.6082905186443,-1.29479820318822,eConsult,eConsult,eConsult
PARK SURGERY,A81016,12665,54.5663982915067,-1.24004555141223,eConsult,eConsult,eConsult
WOODBRIDGE PRACTICE,A81017,18231,54.5381491767139,-1.29211281196398,eConsult,eConsult,eConsult
BENTLEY MEDICAL PRACTICE,A81018,10111,54.6007799853224,-1.0697253941746,eConsult,eConsult,eConsult
CROSSFELL HEALTH CENTRE,A81019,8828,54.5608325666536,-1.2038833488422,eConsult,eConsult,eConsult
MARTONSIDE MEDICAL CENTRE,A81020,7825,54.552175334276,-1.22003855496868,eConsult,eConsult,eConsult
NORMANBY MEDICAL CENTRE,A81021,26481,54.5714510479014,-1.16772117737387,eConsult,eConsult,eConsult
HILLSIDE PRACTICE,A81022,9344,54.5631409483559,-0.980797950222197,eConsult,eConsult,eConsult
THE ENDEAVOUR PRACTICE,A81023,8118,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
THE DOVECOT SURGERY,A81025,4084,54.5615924677248,-1.31882506896414,eConsult,,eConsult
LINTHORPE SURGERY,A81026,20556,54.5633305156537,-1.24160069680326,eConsult,eConsult,eConsult
YARM MEDICAL PRACTICE,A81027,14223,54.5047580528425,-1.35555058898756,SystmConnect,SystmConnect,SystmConnect
PROSPECT SURGERY,A81029,6847,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,A81030,17039,54.5719659357653,-1.22720946996703,eConsult,eConsult,eConsult
HAVELOCK GRANGE PRACTICE,A81031,13604,54.6823319425657,-1.2141493417514,eConsult,eConsult,eConsult
THE GARTH,A81032,11652,54.5328485970829,-1.05316619795324,SystmConnect,SystmConnect,SystmConnect
THORNABY & BARWICK MEDICAL GROUP,A81034,20870,54.5380784580025,-1.292129800112,eConsult,eConsult,eConsult
NEWLANDS MEDICAL CENTRE,A81035,9545,54.5719314685215,-1.22603452012286,eConsult,eConsult,eConsult
NORTON MEDICAL CENTRE,A81036,16036,54.5886960272259,-1.30832104065264,eConsult,eConsult,eConsult
THE ERIMUS PRACTICE,A81037,6093,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
HIRSEL MEDICAL CENTRE,A81038,3703,54.5718478268858,-1.21721910646358,eConsult,eConsult,eConsult
EAGLESCLIFFE MEDICAL PRACTICE,A81039,13159,54.5204936659078,-1.3505213716595,SystmConnect,SystmConnect,SystmConnect
MARSH HOUSE MEDICAL PRACTICE,A81040,8513,54.6109549140767,-1.29366229943869,eConsult,,eConsult
HART MEDICAL PRACTICE,A81041,9390,54.703969263008,-1.22343040866668,eConsult,eConsult,eConsult
SOUTH GRANGE MEDICAL GROUP PRACTICE,A81042,15796,54.5700848240048,-1.16585342151754,eConsult,eConsult,eConsult
MCKENZIE HOUSE SURGERY,A81044,19463,54.6733934579953,-1.21053818694086,eConsult,eConsult,eConsult
THE COATHAM ROAD SURGERY,A81045,6266,54.6174309938656,-1.0723411376013,eConsult,eConsult,eConsult
WOODLANDS FAMILY MEDICAL CENTRE,A81046,12171,54.5612148053556,-1.32120389155675,eConsult,eConsult,eConsult
ZETLAND MEDICAL PRACTICE,A81048,7142,54.5918647183122,-1.01776539724606,eConsult,eConsult,eConsult
KINGS MEDICAL CENTRE,A81049,6348,54.5712775097615,-1.21658036646221,eConsult,eConsult,eConsult
CAMBRIDGE MEDICAL GROUP,A81051,7257,54.5541493923954,-1.25230039638104,eConsult,eConsult,eConsult
THE GREEN HOUSE SURGERY,A81052,10111,54.6007799853224,-1.0697253941746,eConsult,eConsult,eConsult
WOODSIDE SURGERY,A81053,5807,54.5541320836399,-0.887333682717311,eConsult,eConsult,eConsult
THE SALTSCAR SURGERY,A81054,8447,54.6162822127771,-1.07363815347353,eConsult,eConsult,eConsult
MELROSE SURGERY,A81056,2402,54.609836553483,-1.2871694613777,eConsult,,eConsult
KINGSWAY MEDICAL CENTRE,A81057,10070,54.6064592787437,-1.28900881699297,eConsult,eConsult,eConsult
COULBY MEDICAL PRACTICE,A81058,9200,54.5248048955964,-1.21376186958288,eConsult,eConsult,eConsult
WEST QUAY MEDICAL PRACTICE,A81060,6269,54.6851263380287,-1.21823694023909,eConsult; SystmConnect,SystmConnect,SystmConnect
THE HEADLAND MEDICAL CENTRE,A81063,5334,54.6966405887616,-1.18310492057959,eConsult,eConsult,eConsult
THE DISCOVERY PRACTICE,A81064,7956,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
PARK LANE SURGERY,A81066,5558,54.6048793373345,-1.42474095243643,SystmConnect,SystmConnect,SystmConnect
ALMA MEDICAL CENTRE,A81067,10610,54.5694898250115,-1.31764816375762,eConsult,eConsult,eConsult
MCKENZIE GROUP PRACTICE,A81070,6156,54.6604652580762,-1.23926608383405,,eConsult,eConsult
DR RASOOL,A81602,2239,54.6109596523075,-1.29365803696876,eConsult,eConsult,eConsult
ELM TREE SURGERY,A81608,18443,54.5545852424229,-1.29962106089584,SystmConnect,SystmConnect,SystmConnect
THE ROSEBERRY PRACTICE,A81610,7698,54.6109549375501,-1.29366632465438,eConsult,,eConsult
PARKWAY MEDICAL CENTRE,A81611,9733,54.5248048955964,-1.21376186958288,eConsult,eConsult,eConsult
THE PATEL PRACTICE,A81612,4146,54.6614035935451,-1.18857110117886,eConsult,,eConsult
HUNTCLIFF SURGERY,A81618,9896,54.583090676886,-0.9752404953959,eConsult,eConsult,eConsult
THORNTREE SURGERY,A81621,2833,54.5652080428641,-1.18346041993436,eConsult,,eConsult
GLADSTONE HOUSE SURGERY,A81622,5598,54.6852004242165,-1.21857676985297,,eConsult,eConsult
RIVERSIDE MEDICAL PRACTICE,A81629,10907,54.5694797872337,-1.31586957879715,eConsult,,eConsult
WEST VIEW MILLENIUM SURGERY A,A81631,7472,54.7098786153205,-1.2228053466281,eConsult,eConsult,eConsult
ULVERSTON MEDICAL PRACTICE,A82003,11925,54.1989031135352,-3.09782543454715,Accurx,Accurx,Accurx
ALSTON MEDICAL PRACTICE,A82004,2204,54.8102063032232,-2.43983472983109,Accurx,,Accurx
AMBLESIDE HEALTH CENTRE,A82005,5689,54.435052389876,-2.96635972461023,Accurx,Accurx,Accurx
APPLEBY MEDICAL PRACTICE,A82006,5163,54.5790106027051,-2.49438074657779,Accurx,Accurx,Accurx
DUKE STREET SURGERY,A82007,11484,54.1106712672568,-3.22566028636853,Accurx,Accurx,Accurx
NORWOOD MEDICAL CENTRE,A82008,12018,54.1196946501368,-3.22219335225738,Accurx,Accurx,Accurx
BRIDGEGATE MEDICAL CENTRE,A82009,9153,54.114954800338,-3.20915728818488,Accurx,Accurx,Accurx
ABBEY ROAD SURGERY,A82010,6687,54.1102330259572,-3.22466974298553,Accurx,Accurx,Accurx
BRAMPTON MEDICAL PRACTICE,A82012,16719,54.9423647173364,-2.73483817150885,Accurx,Accurx,Accurx
UPPER EDEN MEDICAL PRACTICE,A82013,6430,54.4754135116701,-2.35193012057889,Accurx,Accurx,Accurx
CALDBECK SURGERY,A82014,4199,54.7500811253131,-3.05249225671334,Accurx,Accurx,Accurx
CARLISLE CENTRAL PRACTICE,A82015,13304,54.8937357010439,-2.92927828329473,Accurx,,Accurx
CARLISLE HEALTHCARE,A82016,40928,54.8853543938774,-2.90349511343743,eConsult,eConsult,eConsult
SPENCER ST SURGERY,A82018,13694,54.8948834889555,-2.93115519686357,Accurx,Accurx,Accurx
EDEN MEDICAL GROUP,A82020,15123,54.8947253587378,-2.95107767573627,Anima,Anima,Anima
CASTLEGATE AND DERWENT SURGERY,A82021,17856,54.6659240580314,-3.35876734448769,Accurx,Accurx,Accurx
DALSTON MEDICAL GROUP,A82022,5198,54.8405893693617,-2.98618803171965,Accurx,,Accurx
DISTINGTON SURGERY,A82023,6582,54.5954723313071,-3.54102526264097,Accurx,Accurx,Accurx
SEASCALE HEALTH CENTRE,A82024,5942,54.3969683861264,-3.47986690044129,Accurx,Accurx,Accurx
CAPTAIN FRENCH SURGERY,A82025,11835,54.3231717441697,-2.74808096068512,Accurx,Accurx,Accurx
THE JAMES COCHRANE PRACT.,A82026,17132,54.3126969285411,-2.73713117801878,Accurx,Accurx,Accurx
STATION HOUSE SURGERY,A82027,10011,54.3319318136405,-2.73976662566504,Accurx,Accurx,Accurx
CASTLEHEAD MEDICAL CENTRE,A82028,8319,54.5976904373987,-3.13457221154096,Accurx,Accurx,Accurx
THE CROFT SURGERY,A82029,3516,54.8971320608318,-3.2027776998243,Accurx,Accurx,Accurx
LUNESDALE SURGERY,A82030,6507,54.2005731016163,-2.60221307832773,Accurx,Accurx,Accurx
SHAP MEDICAL PRACTICE,A82031,3312,54.5285945759008,-2.67778729571887,Accurx,Accurx,Accurx
MARYPORT HEALTH SERVICES,A82032,13881,54.7067591939543,-3.49423260022666,eConsult,eConsult,eConsult
WATERLOO HOUSE SURGERY,A82033,7903,54.2085041940768,-3.26839202706845,Accurx,Accurx,Accurx
BIRBECK MEDICAL GROUP,A82035,14322,54.6559631049478,-2.74357491403247,Accurx,Accurx,Accurx
THE LAKES MEDICAL PRACTICE,A82036,11688,54.6560027621151,-2.74377574762983,Accurx,Accurx,Accurx
SILLOTH GROUP MEDICAL PRACTICE,A82037,4445,54.8697040977507,-3.39357079672665,Accurx,Accurx,Accurx
TEMPLE SOWERBY MEDICAL PRACTICE,A82038,4625,54.636949694086,-2.60502124217307,Accurx,Accurx,Accurx
DALTON SURGERY,A82039,8752,54.1559169693633,-3.1798161766577,Accurx,,Accurx
LOWTHER MEDICAL CENTRE,A82041,13743,54.5450557485746,-3.58638828054627,eConsult,eConsult,eConsult
FELLVIEW HEALTHCARE,A82044,22997,54.4825324905552,-3.53298430520353,eConsult,eConsult,eConsult
WIGTON GROUP MEDICAL PRACTICE,A82045,9250,54.8202965486959,-3.15899941538114,Accurx,Accurx,Accurx
WINDERMERE HEALTH CENTRE,A82046,4666,54.3708710070703,-2.91342057475722,Accurx,Accurx,Accurx
JAMES STREET GROUP PRACT,A82047,33359,54.6448305668261,-3.5502919571302,Accurx,,Accurx
NUTWOOD MEDICAL PRACTICE,A82053,7451,54.1873237651767,-2.91494655800099,Evergreen Health,askmyGP,askmyGP
ASPATRIA MEDICAL GROUP,A82055,7379,54.7629683682832,-3.33547124245719,Accurx,Accurx,Accurx
ATKINSON HEALTH CENTRE,A82062,6472,54.110147896904,-3.2249180988546,Accurx,Accurx,Accurx
WESTCROFT HOUSE SURGERY,A82064,6363,54.4830049266423,-3.52859000972683,eConsult,eConsult,eConsult
ULVERSTON COMMUNITY HEALTH CENTRE,A82068,4736,54.1989031135352,-3.09782543454715,Accurx,,Accurx
ST. MARY'S SURGERY,A82070,6620,54.380764845743,-2.90883654323549,Accurx,Accurx,Accurx
BURNETT EDGAR MEDICAL CTR,A82071,4137,54.1078000047544,-3.25396466190714,,Medicus,Medicus
RISEDALE SURGERY,A82072,7317,54.1104287109649,-3.22544524631711,Accurx,Accurx,Accurx
MANSION HOUSE SURGERY,A82075,7676,54.5460470260839,-3.58797060113039,Accurx,,Accurx
SEDBERGH MEDICAL PRACTICE,A82608,4663,54.3223806839635,-2.53526778191362,Accurx,Accurx,Accurx
WRAYSDALE HOUSE SURGERY,A82613,1000,54.3667968231823,-3.07636107840827,,,Unknown
KIRKOSWALD SURGERY,A82617,2822,54.7639214566958,-2.69119573379208,Accurx,,Accurx
GLENRIDDING HEALTH CENTRE,A82620,1009,54.5439544872931,-2.95236737552907,Accurx,Accurx,Accurx
THE FAMILY PRACTICE,A82629,2930,54.1170544054916,-3.22903090138559,Patchs,Patchs,Patchs
COURT THORN SURGERY,A82631,3732,54.8018275080084,-2.82624744861831,Accurx,Accurx,Accurx
LONGTOWN MEDICAL CENTRE,A82646,3850,55.010231797822,-2.96555361283756,Accurx,Accurx,Accurx
CARTMEL SURGERY,A82647,3325,54.1994427544515,-2.94818742289306,Accurx,,Accurx
HAVERTHWAITE SURGERY,A82650,2995,54.2497528046465,-2.99972848699174,Accurx,Accurx,Accurx
DUDDON VALLEY MEDICAL PRACTICE,A82651,4989,54.2325528696615,-3.18576027813809,Accurx,Accurx,Accurx
WARWICK SQUARE GROUP PRACTICE,A82654,7929,54.8931437773187,-2.92588503724869,Accurx,Accurx,Accurx
ST ANDREW'S MEDICAL PRACTICE,A83001,15908,54.6996186019521,-1.59820136676877,eConsult,eConsult,eConsult
WILLINGTON MEDICAL GROUP,A83003,9175,54.7105123838747,-1.69407112273948,eConsult,eConsult,eConsult
WHINFIELD MEDICAL PRACTICE,A83005,12226,54.5462701047563,-1.52499439976986,Accurx,Accurx,Accurx
ORCHARD COURT SURGERY,A83006,8679,54.5323618430417,-1.56664758555169,Accurx,Accurx,Accurx
BLACKHALL AND PETERLEE PRACTICE,A83007,10258,54.7469031359025,-1.28973221592287,eConsult,eConsult,eConsult
HALLGARTH SURGERY,A83008,5388,54.6347951810276,-1.64428990569598,eConsult,eConsult,eConsult
BRIDGE END SURGERY,A83009,7571,54.8593039134216,-1.57347963618972,Accurx; eConsult,Accurx,Accurx
MOORLANDS SURGERY,A83010,13161,54.5342158665965,-1.57758474378324,eConsult,eConsult,eConsult
CLAYPATH & UNIVERSITY MEDICAL GROUP,A83011,33957,54.7787685451698,-1.56635128020217,Accurx,Accurx,Accurx
WILLIAM BROWN CENTRE,A83012,15506,54.7579940992405,-1.33142034096646,eConsult,,eConsult
NEASHAM ROAD SURGERY,A83013,13314,54.51725633131,-1.54264757903011,eConsult,eConsult,eConsult
BELMONT & SHERBURN MEDICAL GROUP,A83014,6370,54.7860506698371,-1.52858081127139,eConsult; SystmConnect,,Unknown
STATION VIEW MEDICAL CENTRE,A83015,9700,54.6566692658842,-1.67988906207831,eConsult,eConsult,eConsult
TANFIELD VIEW MEDICAL GROUP,A83016,10805,54.8699389036106,-1.70137329006151,SystmConnect,SystmConnect,SystmConnect
CONSETT MEDICAL CENTRE,A83018,16538,54.8513121969711,-1.82775948940547,Accurx,Accurx,Accurx
NORTH HOUSE SURGERY,A83020,13531,54.7165358818313,-1.74734683256254,eConsult,eConsult,eConsult
AUCKLAND MEDICAL GROUP,A83021,16086,54.6489149405454,-1.67976956211973,eConsult,,eConsult
THE MEDICAL GROUP,A83022,26653,54.7482957246891,-1.62891095641563,eConsult,eConsult,eConsult
STANLEY MEDICAL GROUP,A83023,12556,54.8703228036367,-1.69672699514439,Accurx,Accurx,Accurx
WEST RAINTON SURGERY,A83024,5507,54.8104276413451,-1.50509853435139,eConsult,,eConsult
BISHOPGATE MEDICAL CENTRE,A83025,13626,54.6586819756734,-1.67638552883756,eConsult,SystmConnect,SystmConnect
SACRISTON MEDICAL CENTRE,A83026,10699,54.8204880330647,-1.62892156357974,eConsult,eConsult,eConsult
COXHOE MEDICAL PRACTICE,A83027,7670,54.7146721769084,-1.50435555169979,eConsult,eConsult,eConsult
MIDDLE CHARE MEDICAL GROUP,A83028,9298,54.8559148894357,-1.57315711189354,eConsult,,eConsult
GREAT LUMLEY SURGERY,A83029,5287,54.8372485883043,-1.54311816570554,eConsult,eConsult,eConsult
DUNELM MEDICAL PRACTICE,A83030,14395,54.7834217058994,-1.63700150571652,eConsult,eConsult,eConsult
CARMEL MEDICAL PRACTICE,A83031,11820,54.5279170508985,-1.57927213562291,eConsult,eConsult,eConsult
WOODVIEW MEDICAL PRACTICE,A83032,2641,54.6127728003831,-1.80410150402858,eConsult,eConsult,eConsult
PELTON & FELLROSE MEDICAL GROUP,A83033,10320,54.8732171957906,-1.60334619911205,SystmConnect,SystmConnect,SystmConnect
BLACKETTS MEDICAL PRACTICE,A83034,11591,54.5273203739488,-1.55923798716849,eConsult,eConsult,eConsult
THE WEARDALE PRACTICE,A83035,7166,54.7459868893818,-2.00223621732887,SystmConnect,SystmConnect,SystmConnect
CHASTLETON MEDICAL GROUP,A83036,10226,54.7957536888011,-1.58713566533428,Accurx,Accurx,Accurx
BEWICK CRESCENT SURGERY,A83037,12899,54.6175489599535,-1.57186017316487,eConsult,eConsult,eConsult
CEDARS MEDICAL GROUP,A83038,6256,54.9051456875489,-1.73971191208437,eConsult,eConsult,eConsult
CLIFTON COURT MEDICAL PRACTICE,A83040,12251,54.5211336901449,-1.54955444541392,eConsult,eConsult,eConsult
MURTON MEDICAL CENTRE,A83041,7336,54.8169966941755,-1.38332560790872,eConsult; SystmConnect,eConsult,eConsult
OLD FORGE SURGERY,A83043,2700,54.6230414303992,-2.0797584350355,eConsult,eConsult,eConsult
THE HORDEN GROUP PRACTICE,A83044,8362,54.7646754072728,-1.31286218785185,eConsult,eConsult,eConsult
FERRYHILL AND CHILTON MEDICAL PRACTICE,A83045,14920,54.6898383202667,-1.55682814758698,eConsult,,eConsult
BARNARD CASTLE SURGERY,A83046,11025,54.5457078060807,-1.91615347274102,eConsult,eConsult,eConsult
DENMARK STREET SURGERY,A83047,14761,54.5388249740316,-1.5522518042169,Rapid Health,Patchs,Patchs
ROCKLIFFE COURT SURGERY,A83048,6290,54.4834436647543,-1.54407431274768,eConsult,eConsult,eConsult
QUEENS ROAD SURGERY,A83049,16675,54.8681278584911,-1.84261469765817,SystmConnect,SystmConnect,SystmConnect
CESTRIA HEALTH CENTRE,A83050,12584,54.8517210158188,-1.59768522367585,eConsult,eConsult,eConsult
MARLBOROUGH SURGERY,A83051,11513,54.8354163732594,-1.33509279681055,eConsult,eConsult,eConsult
BISHOPS CLOSE MEDICAL PRACTICE,A83052,8568,54.6998169953689,-1.59914220341881,eConsult,eConsult,eConsult
SKERNE MEDICAL GROUP,A83054,17097,54.6540324113536,-1.4487997408163,eConsult,eConsult,eConsult
CHEVELEY PARK MEDICAL CTR,A83055,5102,54.785599569555,-1.5258182275099,eConsult,eConsult,eConsult
EAST DURHAM MEDICAL GROUP,A83057,18148,54.7255709046802,-1.37893789036949,eConsult,,eConsult
PINFOLD MEDICAL PRACTICE,A83060,2851,54.6272108306558,-1.83818541256778,eConsult,eConsult,eConsult
GAINFORD SURGERY,A83061,3709,54.5456587475005,-1.73091690704291,eConsult,eConsult,eConsult
JUBILEE MEDICAL GROUP,A83066,13059,54.6302869688526,-1.5806333758433,eConsult,eConsult,eConsult
MIDDLETON AND DINSDALE MEDICAL PRACTICE,A83070,5926,54.5147930227643,-1.44791694904942,eConsult,eConsult,eConsult
THE NEW SEAHAM MEDICAL GROUP,A83071,4689,54.8345589178565,-1.36633742676551,eConsult,eConsult,eConsult
LANCHESTER MEDICAL CENTRE,A83072,4063,54.8198086977584,-1.73867301044987,eConsult,eConsult,eConsult
DRS LAMBERT & NG,A83073,5282,54.8576481979381,-1.73758750997385,eConsult,eConsult,eConsult
PEASE WAY MEDICAL CENTRE,A83074,11861,54.6185807576654,-1.57649509083918,eConsult,eConsult,eConsult
BYRON MEDICAL PRACTICE,A83075,8306,54.8368482018294,-1.34891051689018,eConsult,,eConsult
WINGATE MEDICAL PRACTICE INTRAHEALTH,A83610,3576,54.7251095630471,-1.3779805867104,eConsult,eConsult,eConsult
BEVAN MEDICAL GROUP,A83616,8769,54.7612104695341,-1.38743708601356,eConsult,eConsult,eConsult
BROWNEY HOUSE SURGERY,A83617,2707,54.8003559091405,-1.66974907824004,eConsult,,eConsult
OAKFIELDS HEALTH GROUP,A83618,7642,54.9036232989012,-1.81652662382184,eConsult,eConsult,eConsult
SOUTHDENE MEDICAL CENTRE,A83619,3404,54.7635007212751,-1.38716939530348,eConsult,eConsult,eConsult
THE HAVEN SURGERY,A83622,1771,54.824988600521,-1.71245992626519,eConsult,eConsult,eConsult
EVENWOOD MEDICAL PRACTICE,A83626,2324,54.6201318243017,-1.75862940728296,eConsult,eConsult,eConsult
SILVERDALE FAMILY PRACTICE,A83627,6606,54.8002628776592,-1.41023637229733,eConsult,eConsult,eConsult
WEST CORNFORTH MEDICAL CENTRE,A83634,2820,54.7027668043118,-1.52278072673101,eConsult,eConsult,eConsult
BOWBURN MEDICAL CENTRE,A83635,4604,54.7355986961056,-1.52598268010784,eConsult; SystmConnect,,Unknown
LEADGATE SURGERY,A83636,5758,54.860059406008,-1.8051585168125,SystmConnect,SystmConnect,SystmConnect
VILLAGES MEDICAL GROUP,A83637,4091,54.8583316583607,-1.61043976156309,eConsult,eConsult,eConsult
PARKGATE SURGERY,A83641,4842,54.5236137465495,-1.54840117813181,eConsult,,eConsult
ANNFIELD PLAIN SURGERY,A83644,3577,54.8567629862573,-1.73549037800752,eConsult,,eConsult
THE ROTHBURY PRACTICE,A84002,6261,55.3067751881983,-1.91391461657723,SystmConnect,,SystmConnect
BEDLINGTONSHIRE MED.GROUP,A84005,12925,55.1323214971199,-1.59923051952167,SystmConnect,SystmConnect,SystmConnect
ALNWICK MEDICAL GROUP,A84006,18898,55.4100842557036,-1.69673229905935,eConsult,eConsult,eConsult
PONTELAND MEDICAL GROUP,A84007,10934,55.0511561797194,-1.74944149946381,SystmConnect,SystmConnect,SystmConnect
BELFORD MEDICAL PRACTICE,A84008,4502,55.5957340386586,-1.82716842915016,eConsult,eConsult,eConsult
RAILWAY MEDICAL GROUP,A84009,26818,55.1283394735483,-1.51461085921119,eConsult,eConsult,eConsult
WHITE MEDICAL GROUP,A84011,8724,55.0511561797194,-1.74944149946381,eConsult,eConsult,eConsult
THE GABLES MEDICAL GROUP,A84013,6314,55.1402896915201,-1.56697639783521,Klinik,Klinik,Klinik
MARINE MEDICAL GROUP,A84014,14126,55.1278727711818,-1.51493565265619,eConsult,eConsult,eConsult
PRUDHOE MEDICAL GROUP,A84016,6783,54.9616280479537,-1.85535300023194,eConsult,eConsult,eConsult
CORBRIDGE HEALTH CENTRE,A84018,7333,54.9738624113046,-2.01270150295207,eConsult,eConsult,eConsult
GUIDEPOST MEDICAL GROUP,A84020,8123,55.1572212915034,-1.60459944277103,eConsult,eConsult,eConsult
COQUET MEDICAL GROUP,A84022,12359,55.3325990097699,-1.58050428404659,SystmConnect,SystmConnect,SystmConnect
BURN BRAE MEDICAL GROUP,A84024,10422,54.969447167339,-2.09340015869844,eConsult,eConsult,eConsult
CRAMLINGTON MEDICAL GROUP,A84025,5537,55.0844275715584,-1.5916572932952,SystmConnect,,SystmConnect
WELL CLOSE MEDICAL GROUP,A84026,9213,55.772610999777,-2.00596763709117,eConsult,eConsult,eConsult
BELLINGHAM PRACTICE,A84027,3445,55.1438395489921,-2.25799783886764,eConsult,eConsult,eConsult
SEATON PARK MEDICAL GROUP,A84028,20056,55.1708926961456,-1.56100896087438,Klinik,Klinik,Klinik
NORTHUMBERLAND HEALTH,A84029,4775,55.2394740831559,-1.62018662886292,SystmConnect,SystmConnect,SystmConnect
VILLAGE MEDICAL GROUP,A84030,11905,55.0845828914283,-1.58708143519385,SystmConnect,SystmConnect,SystmConnect
GREYSTOKE SURGERY,A84031,11112,55.1716895428382,-1.68343142164472,Accurx,Accurx,Accurx
THE SELE MEDICAL PRACTICE,A84033,5902,54.969447167339,-2.09340015869844,eConsult,eConsult,eConsult
HALTWHISTLE MEDICAL GROUP,A84034,5623,54.9703260099784,-2.46403085686086,eConsult,eConsult,eConsult
RIVERSDALE SURGERY,A84035,5961,54.9607164976598,-1.84484603736146,eConsult,SystmConnect,SystmConnect
VALENS MEDICAL PARTNERSHIP,A84036,49252,55.169758914852,-1.68920120440881,SystmConnect,SystmConnect,SystmConnect
NETHERFIELD HOUSE,A84037,5988,55.063624892983,-1.54842034270572,eConsult,eConsult,eConsult
FORUM FAMILY PRACTICE,A84038,9317,55.0844087600087,-1.59140684063648,eConsult,eConsult,eConsult
GAS HOUSE LANE SURGERY,A84039,7285,55.1717135639801,-1.68351176949546,eConsult,eConsult,eConsult
HUMSHAUGH & WARK MED GRP,A84040,3317,55.0365663075161,-2.12556400258609,eConsult,eConsult,eConsult
SCOTS GAP MEDICAL GROUP,A84042,2184,55.1729337327072,-1.93885126747382,eConsult,,eConsult
UNION BRAE & NORHAM PRAC,A84044,7059,55.7667163987907,-2.01176797142817,eConsult,eConsult,eConsult
HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,A84045,5248,54.9756813435356,-2.25005917085519,SystmConnect,,SystmConnect
BRANCH END SURGERY,A84047,5415,54.9471313115838,-1.89779076200028,eConsult,eConsult,eConsult
WOOLER HEALTH,A84604,4923,55.5465965040651,-2.01886414530109,eConsult,eConsult,eConsult
THE ADDERLANE SURGERY,A84614,2203,54.9622987402445,-1.84537094913429,,eConsult,eConsult
ELSDON AVENUE SURGERY,A84619,4362,55.0704908612685,-1.52493157789456,SystmConnect,SystmConnect,SystmConnect
FELL TOWER MEDICAL CENTRE,A85001,7396,54.9338873027188,-1.59881687758415,eConsult,eConsult,eConsult
BENSHAM FAMILY PRACTICE,A85002,3711,54.9527870141125,-1.61599156231906,eConsult,eConsult,eConsult
LONGRIGG MEDICAL CENTRE,A85004,9945,54.9434540632963,-1.54419447761255,eConsult,,eConsult
OXFORD TCE & RAWLING RD MEDICAL GROUP,A85005,17976,54.9543016229501,-1.60628046329571,eConsult,eConsult,eConsult
GLENPARK & TEAMS MEDICAL SERVICES,A85006,14574,54.9530320833059,-1.64031599472568,eConsult,eConsult,eConsult
FELL COTTAGE SURGERY,A85007,8814,54.9379271747511,-1.59490583853388,eConsult,eConsult,eConsult
BIRTLEY MEDICAL GROUP,A85008,15267,54.8918810635328,-1.57644090524278,eConsult,eConsult,eConsult
CROWHALL MEDICAL CENTRE,A85009,6510,54.9479806062474,-1.5681236153207,eConsult,eConsult,eConsult
CHAINBRIDGE MEDICAL PARTNERSHIP,A85010,11533,54.9638260984671,-1.71178250366211,eConsult,eConsult,eConsult
ST. ALBANS MEDICAL GROUP,A85011,7086,54.9479895922238,-1.56812351904501,eConsult,eConsult,eConsult
MILLENNIUM FAMILY PRACTICE,A85013,3709,54.9630549156764,-1.60371166624311,eConsult,,eConsult
CRAWCROOK MEDICAL CENTRE,A85014,20026,54.9664071052715,-1.78693937843117,,,Unknown
WREKENTON MEDICAL GROUP,A85016,12302,54.9263756869773,-1.57041463835462,eConsult,eConsult,eConsult
BEWICK ROAD SURGERY,A85017,8678,54.9563983429091,-1.60165343008681,eConsult,,eConsult
OLDWELL SURGERY,A85018,4727,54.9551823456561,-1.72385215522243,eConsult,eConsult,eConsult
CENTRAL GATESHEAD MEDICAL GROUP,A85019,10491,54.9564788917385,-1.60430726065591,eConsult,,eConsult
WHICKHAM COTTAGE MEDICAL CENTRE,A85020,15629,54.9453804211154,-1.67722649376151,eConsult,eConsult,eConsult
SECOND STREET SURGERY,A85021,4283,54.9546437650983,-1.61491206944325,eConsult,,eConsult
